"ID","ObjectName","AdmArea","District","ObjectAddress","Coordinates","ConsrtuctionWorkType","MainFunctional","SourceOfFinance","DevelopmentArea","FloorsAmount","ObjectStatus","CadastralNumber","GPZUDocumentNumber","GPZUDocumentDate","GPZUDocumentStatus","Permission","EntryState","EntryAddReason","FunctionalForNG"
"176083","Жилые дома с инженерными сетями и благоустройством территории","Северо-Восточный административный округ","Бабушкинский район","г. Москва, СВАО, Бабушкинский, Радужная ул., вл. 14, стр. 2","37.667521642719,55.861013994677","новое строительство","Многоэтажный многоквартирный дом","городской бюджет","2453.22","11+1 подз.","в строительстве","не определен","RU77106000-044747","","действует","More then 1 level","активна","новый объект","Многоэтажный многоквартирный дом"
"14090","Территория историко-архитектурного ансабля ""Рогожская слобода"" - инженерные коммуникации и дорожная сеть (внутриплощадочные инженерные сети)","Юго-Восточный административный округ","Нижегородский район","г. Москва, ЮВАО, район Нижегородский, улица Рогожский Посёлок, вл. 29","37.703019720639,55.739676519196","реконструкция","Специализированная больница","городской бюджет","","","в строительстве","","","","","More then 1 level","активна","новый объект","Специализированная больница"
"181043","Транспортно-пересадочный узел ст. ""Ходынское поле"" (Третий пересадочный контур). 1 этап: ""Подземная часть объекта ТПУ. Зона попутного обслуживания пассажиров""","Северный административный округ","Хорошёвский район","Москва, САО, район Хорошёвский","37.532873980630,55.786348120541","новое строительство","Транспортно-пересадочный узел","городской бюджет","2660","1","в строительстве","77:09:0005007:17486","RU77-213000-022598","30.12.2016","действует","More then 1 level","активна","новый объект","Транспортно-пересадочный узел"
"162541","Комплексная жилая застройка. Этап 1(дома 1,2,3,4)","Юго-Восточный административный округ","район Некрасовка","Москва, ЮВАО, Некрасовка, пос. Некрасовка, 77:16:0010105:8283","37.935665997442,55.709134976963","новое строительство","Многоэтажный многоквартирный дом","внебюджетные источники","1818.95","23","в строительстве","77:16:0010105:8283","RU77166000-030848","22.06.2017","действует","More then 1 level","активна","новый объект","Многоэтажный многоквартирный дом"
"169705","Жилой дом с инженерными сетями и благоустройством территории","Северо-Восточный административный округ","район Южное Медведково","Москва, СВАО, Южное Медведково, Молодцова ул. вл. 25/1","37.628389891760,55.878916549919","новое строительство","Многоэтажный многоквартирный дом","городской бюджет","1068.1","18","в строительстве","не определен","RU77221000-043625","","действует","More then 1 level","активна","новый объект","Многоэтажный многоквартирный дом"
"202706","Жилой комплекс с подземной автостоянкой. 2 этап","Юго-Восточный административный округ","Нижегородский район","Москва, ЮВАО, Нижегородский, Новохохловская ул. вл. 15","37.712088908747,55.728405904433","новое строительство","Многоэтажный многоквартирный дом","внебюджетные источники","964.94","33","в строительстве","77:04:0001020:2","РФ-77-4-53-3-92-2020-2301","","действует","More then 1 level","активна","новый объект","Многоэтажный многоквартирный дом"
"17264","Учебный корпус на 400 мест (на месте сноса существующего здания ДОУ)","Северный административный округ","район Сокол","Москва, САО, Сокол, Песчаный М. пер. д. 4 стр. 1","37.507418167696,55.804686184272","новое строительство","Дошкольная образовательная организация","городской бюджет","2673","4","в строительстве","не определен","RU77195000-036708","14.03.2018","действует","More then 1 level","активна","новый объект","Дошкольная образовательная организация"
"110058","Жилой дом, кв. 998, район Красносельский, Русаковская ул., д. 6 (со сносом здания отселенного дома, ул. Русаковская, д. 6, стр. 2.) 2-й этап","Центральный административный округ","Красносельский район","г. Москва, ЦАО, район Красносельский, ул. Русаковская, вл. 6","37.673100040510,55.782809002167","новое строительство","Многоэтажный многоквартирный дом","городской бюджет","1535.4","5-8-9+подвал","в строительстве","77:77:0108547:1","RU77-141000-024057","16.05.2017","действует","More then 1 level","активна","новый объект","Многоэтажный многоквартирный дом"
"16903","Жилой дом, со сносом здания по адресу: ул.Бакунинская, вл. 60, стр. 4. 2 этап ","Центральный административный округ","Басманный район","Москва, ЦАО, Басманный, Бакунинская ул. вл. 60/2","37.690307453635,55.777245781113","новое строительство","Многоэтажный многоквартирный дом","городской бюджет","1032","15","в строительстве","77:01:0003026:1009","RU77107000-047705","","действует","More then 1 level","активна","новый объект","Многоэтажный многоквартирный дом"
"205401","Многофункциональный жилой комплекс","Юго-Западный административный округ","Обручевский район","Москва, ЮЗАО, Обручевский, Старокалужское шоссе , пересечение с ул. Академика Челомея","37.538025909287,55.663241270510","новое строительство","Многоэтажный многоквартирный дом","внебюджетные источники","5463.4","25","в строительстве","77:06:0003015:3695","РФ-77-4-59-3-05-2020-0105","","действует","More then 1 level","активна","новый объект","Многоэтажный многоквартирный дом"
