"ID","ObjectName","AdmArea","District","ObjectAddress","Coordinates","ConsrtuctionWorkType","MainFunctional","SourceOfFinance","DevelopmentArea","FloorsAmount","ObjectStatus","CadastralNumber","GPZUDocumentNumber","GPZUDocumentDate","GPZUDocumentStatus","Permission","EntryState","EntryAddReason","FunctionalForNG"
"43","Дошкольное образовательное учреждение (2-я очередь строительства жилого дома с подземной автостоянкой, мультисервисом и отдельностоящим ДОУ)","Северо-Восточный административный округ","район Марьина Роща","Москва, СВАО, Марьина роща, Новосущевская ул., вл. 37","37.602203921205,55.788599041331","новое строительство","Дошкольная образовательная организация","внебюджетные источники","770","3","в строительстве","77:02:0024026:2081","RU77154000-038065","29.09.2011","действует","More then 1 level","активна","новый объект","Дошкольная образовательная организация"
"771","Телевизионный комплекс ОАО ""Телекомпания НТВ""","Северо-Восточный административный округ","Останкинский район","Москва, СВАО, район Останкинский, Новомосковская улица, вл. 18-22","37.619060188133,55.817768093242","новое строительство","Объект производства электронных компонентов, аппаратур для радио, телевидения и связи","внебюджетные источники","6545","8","в строительстве","77:02:0022005:1","RU77-174000-001921","08.09.2010","действует","More then 1 level","активна","новый объект","Промышленно-производственный объект"
"738","Одноквартирные жилые дома (3-й пусковой комплекс)","Северо-Западный административный округ","район Куркино","Москва, СЗАО, район Куркино, мкр. 1 АБВ, корп. 44, 46, 49, 51, 53, 55","37.379301300613,55.906705621953","новое строительство","Малоэтажный многоквартирный дом","городской бюджет","230.2","2","в строительстве","77:08:0001007:1","RU77-146000-005490","16.03.2012","аннулирован","More then 1 level","активна","новый объект","Малоэтажный многоквартирный дом"
"1031","Реконструкция жилого дома","Юго-Западный административный округ","район Южное Бутово","Москва, ЮЗАО, район Южное Бутово, 1-я Павлоградская улица, д. 10","37.575864205620,55.545354674543","реконструкция","Малоэтажный многоквартирный дом","внебюджетные источники","138.4","2","в строительстве","77:06:0012015:1008","RU77-220000-006139","05.09.2012","действует","More then 1 level","активна","новый объект","Малоэтажный многоквартирный дом"
"894","Индивидуальный монолитный 9-секционный 11-этажный жилой дом с подземной автостоянкой (2-й этап - подземная автостоянка)","Южный административный округ","район Бирюлёво Восточное","Москва, ЮАО, район Бирюлево Восточное, 6-я Радиальная улица, вл. 7, корп. 3","37.663362526202,55.606832113048","новое строительство","Многоэтажный многоквартирный дом","внебюджетные источники","3595.28","11+чердак+техпод.+2 подз.","в строительстве","77:05:0010002:4","RU77-111000-011832","20.04.2014","действует","More then 1 level","активна","новый объект","Многоэтажный многоквартирный дом"
"555","Офисно-административный комплекс (2 этап)","Западный административный округ","район Дорогомилово","Москва, ЗАО, район Дорогомилово, ул. Можайский вал, вл. 8, стр. 1-4","37.555730758883,55.744038211073","новое строительство","Офисное здание","внебюджетные источники","5012.7","14","в строительстве","77:07:0007002:81","RU77-129000-002187","06.08.2010","действует","More then 1 level","активна","новый объект","Офисное здание"
"1028","Объект розничной торговли продовольственными и непродовольственными группами товаров и общественного питания","Западный административный округ","район Ново-Переделкино","Москва, ЗАО, район Ново-Переделкино, Боровское шоссе, вл. 30-36","37.355316030397,55.640663636124","новое строительство","Объект торговли иного типа","внебюджетные источники","932.7","3+2подземных","в строительстве","77:07:0015005:115","RU77-170000-006092","17.09.2012","действует","More then 1 level","активна","новый объект","Объект торговли"
"571","Буддийский  Храм со ступой","Северо-Восточный административный округ","район Отрадное","Москва, СВАО, район Отрадное, Нововладыкинский проезд,      вл. 15","37.590718959025,55.854722291681","новое строительство","Храм","внебюджетные источники","3068.77","3+экспл.кровля+подвал","в строительстве","77:02:0009001:61","RU77-175000-006683","23.04.2013","действует","More then 1 level","активна","новый объект","Храм"
"936","Многофункциональный комплекс с гостиницей на 250 номеров и футбольным стадионом","Западный административный округ","район Внуково","Москва, ЗАО, район Внуково, Большая Внуковская улица, вл. 8","37.296053971173,55.612483970892","новое строительство","Гостиница","внебюджетные источники","35000","14+верх.тех.+подз.","в строительстве","77:07:0016000:72","RU77-117000-005322","18.05.2012","действует","More then 1 level","активна","новый объект","Гостиница"
"806","Комплекс домов из 3-х строений: главный дом, гостевой дом, хозяйственный блок","Западный административный округ","район Внуково","г. Москва, ЗАО, район Внуково, Железнодорожная улица (пос. Толстопальцево)","37.200516796061,55.614160078677","новое строительство","Малоэтажный многоквартирный дом","внебюджетные источники","1453.5","2","в строительстве","77:07:0017002:1215","RU77-117000-003941","30.08.2011","действует","More then 1 level","активна","новый объект","Малоэтажный многоквартирный дом"
"628","Приспособление памятника архитектуры XIX в. ""Дом А.А. Алябьева"" под административные цели","Центральный административный округ","район Арбат","г. Москва, ЦАО, район Арбат, Новинский бульвар, д. 7, стр. 3","37.582339407885,55.751895782996","реконструкция","Объект декоративно-монументального искусства","внебюджетные источники","749.69","3+цок.эт","в строительстве","77:01:05001:097","","","","More then 1 level","активна","новый объект","Объект декоративно-монументального искусства"
"489","Торговый комплекс","Юго-Западный административный округ","район Северное Бутово","г. Москва, ЮЗАО, район Северное Бутово, Старокачаловская улица, вл. 5, стр. 1","37.580817726483,55.570154207566","новое строительство","Торговый центр, торговый комплекс","внебюджетные источники","3470","2","в строительстве","77:06:0011004:68","","","","More then 1 level","активна","новый объект","Торговый центр, торговый комплекс"
"485","Оранжерейный комплекс на территории исторического парка ГМЗ ""Царицыно"" (корп. 1,2,3 Виноградная оранжерея)","Южный административный округ","район Орехово-Борисово Северное","Дольская улица, вл. 1","37.689349739801,55.615369069787","реконструкция","Оранжерея, зимний сад","городской бюджет","5420","1-2","в строительстве","77:05:0010009:183","RU77-172000-021009","15.08.2016","действует","More then 1 level","активна","новый объект","Оранжерея, зимний сад"
"329","Реконструкция жилого дома","Северный административный округ","район Сокол","г. Москва, САО, район Сокол, улица Левитана, д. 16","37.500756261557,55.801785039339","реконструкция","Многоэтажный многоквартирный дом","внебюджетные источники","557","2+подвал","в строительстве","77:09:0005001:140","","","","More then 1 level","активна","новый объект","Многоэтажный многоквартирный дом"
"289","Физкультурно-оздоровительный комплекс с аквапарком","Южный административный округ","район Братеево","Москва, ЮАО, Братеево, Борисовские Пруды ул., Наташинская ул. (пересечение)","37.731498841092,55.634222513610","новое строительство","Физкультурно-оздоровительный комплекс","внебюджетные источники","48150","ФОК с аквапарком 2-3+подвал (3","в строительстве","77:05:0012004:6330","RU77-114000-013432","12.01.2015","действует","More then 1 level","активна","новый объект","Физкультурно-оздоровительный комплекс"
"117","Подземный гараж-стоянка с наземной частью ФОК","Северо-Западный административный округ","район Митино","Москва, СЗАО, район Митино, мкр. 11А, корп. 25, (ул. Барышиха вл. 25)","37.346383174349,55.845908141811","новое строительство","Гараж легкового автотранспорта","внебюджетные источники","2056","2-5","в строительстве","77:08:0002011:215","RU77-159000-024804","12.05.2017","действует","More then 1 level","активна","новый объект","Гараж легкового автотранспорта"
"207","Реконструкция производственного корпуса под административно-торговое здание","Южный административный округ","Донской район","Малая Калужская ул., вл. 15, стр. 31","37.596979823049,55.715937226789","реконструкция","Административно-управленческий объект иного типа","внебюджетные источники","8992","5","в строительстве","77:05:0001009:75","","","","More then 1 level","активна","новый объект","Административно-управленческий объект"
"225","Культурно-развлекательный центр с рестораном","Южный административный округ","район Нагатино-Садовники","г. Москва, ЮАО, район Нагатино-Садовники, Каширское шоссе, вл. 16, корп. 1","37.633234954030,55.661556966223","реконструкция","Многофункциональный торгово-развлекательный центр","внебюджетные источники","1018.2","1+ подвал","в строительстве","77:05:0005002:32","RU77-163000-006089","03.09.2012","действует","More then 1 level","активна","новый объект","Многофункциональный торгово-развлекательный центр"
"272","Многоэтажный гараж-стоянка","Южный административный округ","район Зябликово","Мусы Джалиля ул., вл. 23/56","37.744934494555,55.620361647907","новое строительство","Многоярусный гараж автомобилей","внебюджетные источники","1968.8","7","в строительстве","77:05:0012002:1013","RU77133000-045617","17.05.2012","действует","More then 1 level","активна","новый объект","Многоярусный гараж автомобилей"
"213","Сборочное экологически чистое производство и офисы","Южный административный округ","район Чертаново Центральное","г. Москва, ЮАО, район Чертаново Центральное, 1-й Дорожный проезд, , Проектируемый пр. 5109, промзона Чертаново-65","37.627486801345,55.613506702145","новое строительство","Офисное здание","внебюджетные источники","1131","5+подз.","в строительстве","77:05:0007004:32","RU77-218000-009228","31.07.2013","аннулирован","More then 1 level","активна","новый объект","Офисное здание"
"277","Открытый демонстрационный теннисный корт с временными сборно-разборными трибунами и гостиницей для спортсменов в составе национального теннисного центра России имени Хуана Антонио Самаранча","Северный административный округ","Головинский район","г. Москва, САО, район Головинский, Ленинградское шоссе, вл. 45-47","37.474084113637,55.845610263076","новое строительство","Корт открытый для тенниса","внебюджетные источники","1124","13","в строительстве","77:09:0001004:52","RU77-124000-005023","14.05.2012","действует","More then 1 level","активна","новый объект","Корт открытый для тенниса"
"291","Производственно-складская зона и административно-бытовые корпуса","Юго-Восточный административный округ","район Печатники","г. Москва, ЮВАО, район Печатники, Проектируемый проезд N 5113, вл. 6","37.705627106164,55.662660972542","новое строительство","Склад","внебюджетные источники","35634","1-4","в строительстве","77:04:0003012:37","RU77-178000-011178","09.02.2014","действует","More then 1 level","активна","новый объект","Склад"
"137","Магазин автоматизированной системы торговли по предварительным заказам по адресу: Москва, ул. Шипиловская, вл. 41, корп. 1","Южный административный округ","район Зябликово","Москва, ЮАО, Зябликово, Шипиловская ул. вл. 41 корп. 1","37.736949882510,55.622907557415","новое строительство","Магазин","внебюджетные источники","570","2","в строительстве","77:05:0012001:104","RU77-133000-014205","20.04.2015","действует","More then 1 level","активна","новый объект","Магазин"
"17","Административное здание с подземным гаражом-стоянкой","Центральный административный округ","Басманный район","Москва, ЦАО, Басманный, Покровский бульв. вл. 4/17 стр. 11","37.645735119017,55.758719857597","новое строительство","Офисное здание","внебюджетные источники","265","3+1 подземный","в строительстве","77:01:0001026:2221","RU77-107000-006828","04.06.2013","действует","More then 1 level","активна","новый объект","Офисное здание"
"92","Пожарное депо 46-й пожарной части (с учебным центром)","Восточный административный округ","район Восточный","Москва, ВАО, район Восточный, Западная улица, вл. 16","37.875593025190,55.815859859073","новое строительство","Объект пожарной охраны","городской бюджет","2210.8","1-4+подвал","в строительстве","77:03:0008001:1004","RU77-119000-007705","17.02.2013","действует","More then 1 level","активна","новый объект","Объект пожарной охраны"
"93","Административное здание (1-ая очередь)","Северо-Западный административный округ","район Хорошёво-Мнёвники","г. Москва, СЗАО, район Хорошево-Мневники, улица Народного Ополчения, вл. 34","37.485568810274,55.786097706214","реконструкция","Многофункциональный центр предоставления государственных и муниципальных услуг","внебюджетные источники","1565","5+подвал","в строительстве","77:08:0001000:430","","","","More then 1 level","активна","новый объект","Многофункциональный центр предоставления государственных и муниципальных услуг"
"149","Пристройка поликлинического отделения на 150 посещений в смену к Филиалу по Юго-Восточному административному округу города Москвы Государственного казенного учреждения здравоохранения “Московский городской научно-практический центр борьбы с туберкулезом"" Департамента здравоохранения города Москвы""","Юго-Восточный административный округ","район Текстильщики","Москва, ул. 8-я  Текстильщиков, вл. 2","37.739383602972,55.703998719956","новое строительство","Поликлиника","городской бюджет","1717.63","3-4+подвал","в строительстве","77:04:0004001:25","RU77-204000-003370","29.03.2011","действует","More then 1 level","активна","новый объект","Поликлиника"
"130","Творческая мастерская З.К. Церетели ""Детская школа искусств""","Центральный административный округ","район Замоскворечье","Москва, ЦАО, район Замоскворечье, ул. Пятницкая, вл. 24, стр. 4","37.628060627861,55.741497113927","новое строительство","Организация дополнительного образования","внебюджетные источники","171.6","2+1 подземный","в строительстве","77:01:0002017:34","RU77-130000-009193","15.07.2013","действует","More then 1 level","активна","новый объект","Организация дополнительного образования"
"1295","Административное здание","Центральный административный округ","Тверской район","Москва, ЦАО, Тверской, ул. Новослободская, вл. 26, стр. 3","37.598582047266,55.783543087843","реконструкция","Офисное здание","внебюджетные источники","268","2","в строительстве","77:01:0004006:29","RU77-203000-017412","17.09.2015","действует","More then 1 level","активна","новый объект","Офисное здание"
"69","Гаражно-общественный комплекс","Западный административный округ","район Ново-Переделкино","Москва, ЗАО, район Ново-Переделкино, ул. Новоорловская, промзона Орлово","37.371310184571,55.638518075437","новое строительство","Многоярусный гараж автомобилей","внебюджетные источники","18210","3-5+эксплуатируемая кровля","в строительстве","77:07:0015009:8","RU77-170000-020625","14.07.2016","действует","More then 1 level","активна","новый объект","Многоярусный гараж автомобилей"
"60","Подземная автостоянка","Западный административный округ","район Кунцево","Москва, ЗАО, район Кунцево, Истринская улица, вл. 2-8, корп. 15","37.430973811951,55.735343885442","новое строительство","Гараж легкового автотранспорта","внебюджетные источники","2367","1","в строительстве","77:07:0004005:1003","RU77-145000-004556","20.12.2011","действует","More then 1 level","активна","новый объект","Гараж легкового автотранспорта"
"49","Пожарное депо на 5 автомашин","Западный административный округ","район Тропарёво-Никулино","Москва, ЗАО, район Тропарево-Никулино, ул. Академика Анохина, вл. 8","37.473186250999,55.667422930429","новое строительство","Объект пожарной охраны","городской бюджет","1400.45","4","в строительстве","77:07:0014007:18367","RU77-207000-021538","30.12.2016","действует","More then 1 level","активна","новый объект","Объект пожарной охраны"
"1485","Гостиница, входящая в состав Многофункционального комплекса спортивной направленности с соответствующей инфраструктурой","Северо-Западный административный округ","район Покровское-Стрешнево","Москва, СЗАО, Покровское-Стрешнево, Волоколамское шоссе вл. 67","37.422558959191,55.812574383113","новое строительство","Гостиница","внебюджетные источники","2750","15+подземн.","в строительстве","77:08:0015001:1002","RU77-179000-019345","31.03.2016","действует","More then 1 level","активна","новый объект","Гостиница"
"893","Индивидуальный монолитный 8-секционный 13-этажный жилой дом с подземной автостоянкой (2-й этап - подземная автостоянка)","Южный административный округ","район Бирюлёво Восточное","Москва, ЮАО, район Бирюлево Восточное, 6-я Радиальная улица, вл. 7, корп. 2","37.660318940036,55.606612012317","новое строительство","Многоэтажный многоквартирный дом","внебюджетные источники","3652.7","13+чердак+техпод.+2 подз.","в строительстве","77:05:0010002:4","RU77-111000-011832","20.04.2014","действует","More then 1 level","активна","новый объект","Многоэтажный многоквартирный дом"
"838","Пристройка 9-ти этажного административного здания к существующему складскому корпусу","Северный административный округ","Савёловский район","г. Москва, САО, улица 8 Марта, вл. 14","37.550239882411,55.806210237360","новое строительство","Офисное здание","внебюджетные источники","916","9+технический","в строительстве","77:09:0004010:8","RU77-187000-010780","30.12.2013","действует","More then 1 level","активна","новый объект","Офисное здание"
"1026","Многофункциональный комплекс футбольного стадиона ООО ""Стадион ""Спартак"". Универсально-спортивный зал на 12000 сидений","Северо-Западный административный округ","район Покровское-Стрешнево","Москва, СЗАО, район Покровское-Стрешнево, Волоколамское шоссе","37.439725712267,55.817695776562","новое строительство","Стадион с трибунами на 1500 мест и более","внебюджетные источники","18850","5","в строительстве","77:08:0015001:63","RU77-179000-013255","28.09.2014","действует","More then 1 level","активна","новый объект","Стадион с трибунами на 1500 мест и более"
"38","Подземный гараж-стоянка","Юго-Западный административный округ","район Северное Бутово","Северное Бутово, мкр. 6А, корп. 32","37.580154000579,55.565508880717","новое строительство","Подземная стоянка","внебюджетные источники","2900","1 подз.+КПП","в строительстве","77:06:11004:066","","","","More then 1 level","активна","новый объект","Подземная стоянка"
"837","Центральное ядро ММДЦ ""Москва-Сити"" (1-я очередь - многофункциональный комплекс ""Парк-Сити"" с пересадочным узлом метрополитена)","Центральный административный округ","Пресненский район","Москва, ЦАО, район Пресненский, Краснопресненская набережная, ММДЦ «Москва - Сити»","37.540252275861,55.749469044887","новое строительство","Деловой центр","внебюджетные источники","312067","2","в строительстве","77:01:0004042:62","RU77-181000-014576","19.01.2015","действует","More then 1 level","активна","новый объект","Деловой центр"
"1021","Два жилых дома","Северо-Западный административный округ","район Куркино","Москва, СЗАО, район Куркино, Захарьинская улица, вл. 17 а","37.383491319601,55.890906040968","новое строительство","Малоэтажный многоквартирный дом","внебюджетные источники","617.4","2","в строительстве","77:08:0001002:1002","RU77-146000-005899","19.09.2012","действует","More then 1 level","активна","новый объект","Малоэтажный многоквартирный дом"
"1093","Многофункциональный комплекс (реставрация с приспособлением объекта культурного наследия и строительство в рамках специальных мер, направленных на регенерацию исторической среды).  Этап 1: Новое строительство в режиме регенерации","Центральный административный округ","Тверской район","Москва, ЦАО, Тверской, ул. Большая Дмитровка, вл. 9","37.613646151329,55.761411939023","новое строительство","Апарт-отель","внебюджетные источники","2578","5-6+3 подземных этажа","в строительстве","77:01:0001043:33","RU77-203000-007308","24.01.2013","действует","More then 1 level","активна","новый объект","Апарт-отель"
"1114","""Реконструкция и техническое перевооружение производства"" ОАО ""Научно-производственная корпорация ""Системы прецизионного приборостроения"" г. Москва","Юго-Восточный административный округ","район Лефортово","г. Москва, ул. Авиамоторная, вл. 53, корп. 26","37.729827004652,55.744764628919","реконструкция","Объект производства машин и оборудования","смешанное финансирование","22241.3","","в строительстве","77:04:0001017:1002","RU77-148000-009005","26.09.2013","действует","More then 1 level","активна","новый объект","Промышленно-производственный объект"
"725","Горнолыжный парк","Северный административный округ","Молжаниновский район","Москва, САО, район Молжаниновский, Новоподрезково,           дер. Верескино - река Сходня","37.342131126459,55.930382785456","новое строительство","База лыжная для горных видов спорта","внебюджетные источники","1040","1-2","в строительстве","77:09:0006008:1010","RU77-160000-012406","08.06.2014","действует","More then 1 level","активна","новый объект","База лыжная для горных видов спорта"
"715","Храм святителя Николая Мириклийского в Бирюлево","Южный административный округ","район Бирюлёво Западное","Москва, ЮАО, район Бирюлево Западное, Булатниковский проезд, д. 8-А","37.652414542197,55.590204470389","новое строительство","Храм","внебюджетные источники","4725.4","1","в строительстве","77:05:0009002:32","RU77-112000-002437","26.10.2011","действует","More then 1 level","активна","новый объект","Храм"
"1056","Жилой дом","Западный административный округ","район Раменки","Москва, ЗАО, район Раменки, проспект Вернадского, вл. 4","37.549262720164,55.705286361411","новое строительство","Апарт-отель","внебюджетные источники","2786.65","5+3подземных","в строительстве","77:07:0010003:5","RU77-183000-007393","23.09.2014","действует","More then 1 level","активна","новый объект","Апарт-отель"
"575","Здание многофункционального делового центра","Северо-Восточный административный округ","Бабушкинский район","Москва, СВАО, район Бабушкинский, Менжинского улица, вл. 30, стр. 1","37.669561774480,55.869375401732","новое строительство","Деловой центр","внебюджетные источники","1885","17","в строительстве","77:02:0011006:109","RU77-106000-000394","17.11.2009","действует","More then 1 level","активна","новый объект","Деловой центр"
"1349","Вторая очередь строительства Храма в честь Державной иконы Божией Матери в Чертанове (административные и служебные постройки)","Южный административный округ","район Чертаново Северное","Москва, ЮАО, район Чертаново Северное, Чертановская улица, вл. 2, угол Сумского пр.","37.602981239583,55.635099172431","новое строительство","Административно-управленческий объект иного типа","внебюджетные источники","3031.66","3","в строительстве","77:05:0006002:13","RU77-217000-007899","14.05.2013","действует","More then 1 level","активна","новый объект","Административно-управленческий объект"
"540","Храмовый комплекс во имя Архистратига Михаила","Зеленоградский административный округ","район Крюково","Москва, ЗелАО, Крюково, г. Зеленоград, 16-й микрорайон","37.155367810249,55.976787361706","новое строительство","Храм","внебюджетные источники","3283","2+подвал","в строительстве","77:10:0006004:35","RU77143000-044427","26.05.2015","действует","More then 1 level","активна","новый объект","Храм"
"1182","Индивидуальный монолитный 4-секционный 16-18-этажный жилой дом с подземной автостоянкой","Южный административный округ","район Бирюлёво Восточное","Москва, ЮАО, район Бирюлево Восточное, 6-я Радиальная улица, вл. 7, (корп. 23)","37.655892769575,55.605668362257","новое строительство","Многоэтажный многоквартирный дом","внебюджетные источники","1630","16-18 + техн. чердак+техподпол","в строительстве","77:05:0010002:4","RU77-111000-011832","20.04.2014","действует","More then 1 level","активна","новый объект","Многоэтажный многоквартирный дом"
"1346","Гостиничный комплекс с апартаментами квартирного типа","Северо-Восточный административный округ","район Бибирево","Москва, СВАО, Бибирево, ул. Пришвина, вл. 4А","37.591174553577,55.889334140246","новое строительство","Гостиница","внебюджетные источники","11368","15","в строительстве","77:02:0002013:97","RU77-110000-000478","24.08.2009","действует","More then 1 level","активна","новый объект","Гостиница"
"602","Спортивный комплекс с общежитием федерального государственного бюджетного образовательного учреждения высшего профессионального образования ""Российский Экономический университет имени Г.В. Плеханова""","Центральный административный округ","район Замоскворечье","Москва, ЦАО, район Замоскворечье, Стремянный переулок,вл. 28 (ул. Зацепа, вл. 29)","37.632058762390,55.728978994185","новое строительство","Спортивный комплекс иного типа","внебюджетные источники","3900","14+2 подз.+1 цокольн.","в строительстве","77:01:0006013:63","RU77-130000-003544","29.03.2011","действует","More then 1 level","активна","новый объект","Спортивный комплекс"
"604","Жилой комплекс с подземной автостоянкой","Северо-Восточный административный округ","Алексеевский район","Москва, СВАО, район Алексеевский, Староалексеевская улица, вл. 5","37.645581491944,55.811638251103","новое строительство","Многоэтажный многоквартирный дом","внебюджетные источники","4650","27","в строительстве","77:02:0023012:53","RU77-102000-019447","04.04.2016","действует","More then 1 level","активна","новый объект","Многоэтажный многоквартирный дом"
"483","Храмовый комплекс прихода храма-часовни Казанской (Песчанской) иконы Божией матери","Восточный административный округ","район Восточное Измайлово","Москва, ВАО, 9-ая Парковая улица, д. 4А","37.802100762352,55.789698116847","реконструкция","Храм","внебюджетные источники","1329.5","3 надземных этажа (+ 4-й техни","в строительстве","77:03:0005014:55","RU77-121000-021055","04.08.2016","действует","More then 1 level","активна","новый объект","Храм"
"525","Торгово-гостиничный комплекс с подземной автостоянкой. 2-3 этапы (2 этап - гостиница, 3 этап - гостиничная автостоянка)","Юго-Восточный административный округ","Нижегородский район","Москва, ЮВАО, район Нижегородский, Рязанский проспект, вл. 2","37.734800143692,55.729274007456","новое строительство","Гостиница","внебюджетные источники","10784.83","10","в строительстве","77:04:0002003:17","RU77-167000-014591","23.12.2014","действует","More then 1 level","активна","новый объект","Гостиница"
"527","3-й жилой комплекс","Западный административный округ","район Фили-Давыдково","Москва, ЗАО, район Фили-Давыдково, кв. 1-2, корп. 18, 18А","37.476325599234,55.726030266444","новое строительство","Многоэтажный многоквартирный дом","внебюджетные источники","4462","15-22+2 подземных","в строительстве","77:07:0009004:9345","RU77-209000-014358","29.12.2014","действует","More then 1 level","активна","новый объект","Многоэтажный многоквартирный дом"
"605","Автомоечный комплекс с двухъярусным гаражом-стоянкой","Северо-Западный административный округ","район Митино","Москва, СЗАО, Митино, Барышиха ул. вл. 49","37.342386896712,55.857698484504","новое строительство","Автомойка","внебюджетные источники","1030.2","2","в строительстве","77:08:0002018:13","RU77-159000-010925","06.03.2014","действует","More then 1 level","активна","новый объект","Автомойка"
"606","Многоэтажный гараж-стоянка на 256 машиномест","Юго-Западный административный округ","район Коньково","Введенского ул. вл. 23","37.536178324418,55.635741006311","новое строительство","Многоярусный гараж автомобилей","внебюджетные источники","2525.87","4+1подз.","в строительстве","77:06:0008007:87","RU77-137000-007768","29.04.2013","действует","More then 1 level","активна","новый объект","Многоярусный гараж автомобилей"
"374","Гостиница с подземным гаражом-стоянкой","Центральный административный округ","Мещанский район","Москва, ЦАО, район Мещанский, Олимпийский проспект, вл. 10","37.622217813431,55.777834536853","новое строительство","Гостиница","внебюджетные источники","3651.24","4","в строительстве","77:01:0003044:35","RU77-158000-004132","21.08.2012","действует","More then 1 level","активна","новый объект","Гостиница"
"437","Производственный комплекс ЗАО ""НИИ ЭСТО"" (1-я очередь строительства)","Зеленоградский административный округ","район Силино","Москва, ЗелАО, Зеленоград , территория  ""Алабушево"", на пересечении проездов №683 и №684","37.156607345949,56.001691751135","новое строительство","Объект производства электрических машин и электрооборудования","внебюджетные источники","1104.5","1-3","в строительстве","77:10:0003004:1004","RU77-194000-000442","23.12.2009","действует","More then 1 level","активна","новый объект","Промышленно-производственный объект"
"438","Многофункциональный комплекс с сервисным обслуживанием автомобилей  и подземной автостоянкой","Западный административный округ","район Кунцево","г. Москва, ЗАО, район Кунцево, МКАД 59 км","37.370581245254,55.767558216176","новое строительство","Многофункциональный торгово-развлекательный центр","внебюджетные источники","3720","3+1 подз.","в строительстве","77:07:0003002:8","RU77145000-048879","03.03.2016","действует","More then 1 level","активна","новый объект","Многофункциональный торгово-развлекательный центр"
